StdEduc,OccStat,Motive1,Motive2,Incent1,Incent2,Gender,StdEduc2,OccStat2,Motive3,Motive4,Incent3,Incent4
4.735029927,24.88399052,3.679837279,4.296430152,5.300859545,2.843365315,0,3.87304737875481,21.4558214594103,4.35383909499493,5.54058696908937,5.137452939415,2.41380645080618
5.524618332,23.70145068,3.140879507,-.169260857,1.431848023,4.820048339,0,5.48350155021404,21.8890169104577,2.46212363343679,-.170958037437019,2.01071661731931,3.43830233735287
.703523848,19.82233177,10.76690214,6.306139304,7.142157845,5.020585439,0,.664752906798017,15.1267648982288,13.6165217201157,7.45779099915315,6.65375698726464,4.83002374688361
.325470596,18.30783856,8.899094238,6.296795504,9.389187442,6.580506154,0,.302007968848225,20.9323619630416,8.09890089231684,6.51748569628279,6.91187196689732,6.32719024513155
-.266188844,16.96030735,13.12144366,9.70916537,11.97225035,10.47904614,1,-.167382222216639,16.378189775856,12.3787345981344,12.3695287187169,14.0090050786602,7.22785744332744
.734073519,20.93738838,3.063168533,4.570551396,4.452179711,6.682365066,1,.474643508551904,23.0860302472886,2.46125757573153,4.99234042131287,2.86290746887821,6.73140078893194
3.130819439,19.90262065,1.303212301,-2.297123587,6.763658919,4.721266938,1,2.93214772498621,18.1055758228673,1.27677299364092,-2.41236903220279,6.62218134630929,3.63164752858433
2.645062693,21.34683032,4.430915591,1.379569202,.966084431,-2.169124432,1,3.50940977880724,25.9173977015521,4.59766984877238,1.27218548195272,.829517540477868,-2.10294758634384
-3.221712857,19.60966582,9.707691341,8.01414346,10.86934589,7.07116434,1,-3.1014878308811,21.7933607390801,10.2901618139112,6.91041825088484,9.10091094602217,8.67038443647276
8.387324187,23.21851293,3.336183583,4.20472517,-2.804563625,.472805129,1,7.8556341912814,17.9042757128111,3.60550650642831,3.62503508180641,-2.57962357314295,.540531604545896
1.358464548,21.71245056,4.262739325,4.845338985,4.520345058,2.721120388,1,1.26598358594974,26.2326012962966,4.31968220123207,5.73864103669577,4.73268197267642,2.97677023244419
